,Fund,Cat. Average,Index
Price/Earnings ,9.29,10.08,10.07
Price/Book ,0.87,1.04,0.93
Price/Sales ,0.37,0.61,0.40
Price/Cash Flow ,3.49,4.44,2.91
Dividend Yield % ,1.75,1.71,2.01
Long-Term Earnings % ,27.14,9.55,10.86
Historical Earnings % ,1.34,2.73,0.53
Sales Growth % ,-6.96,-1.44,-3.08
Cash-Flow Growth % ,-6.47,-10.31,-9.25
Book-Value Growth % ,0.89,6.21,2.39
