,Values
NAV,"10,402.45"
Open Price,"10,340.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"57,424.0 / 130,928.5"
Day Range,"10,340.00 – 10,340.00"
Year Range,"9,890.00 – 13,705.00"
SEC Yield ,—
12-Month Yield ,1.61%
Premium ,—
Expense Ratio,0.310%
Total Assets,72.8 Bil
