,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-10.21,-14.71
Fund (NAV),—,—,—,—,—,—,—,—,—,-10.20,-14.23
+/ Category (NAV),—,—,—,—,—,—,—,—,—,7.94,-4.80
+/- Index (Price),—,—,—,—,—,—,—,—,—,1.67,0.34
Percentile Rank,—,—,—,—,—,—,—,—,—,7,76
# of Funds in Category,—,—,—,—,—,—,—,—,272,369,476
