,Values
Sustainability Rate,Average
Percent Rank in Global Category,42%
Historical Sustainability Score,41.63
Global Category,Korea Equity
Portfolio ESG,50.90
Controversy Deduction,9.05
Sustainability Score,41.85
Sustainability Mandate,No
