,Values
NAV,"6,351.91"
Open Price,"6,335.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"68,384.0 / 16,301.9"
Day Range,"6,255.00 – 6,335.00"
Year Range,"6,255.00 – 7,540.00"
SEC Yield ,—
12-Month Yield ,2.84%
Premium ,—
Expense Ratio,0.240%
Total Assets,17.2 Bil
