Sectors,Fund %,Category %
Basic Materials,8.97,8.70
Consumer Cyclical,16.77,13.65
Financial Services,16.09,11.56
Real Estate,0.00,0.29
Communication Services,4.97,2.34
Energy,2.99,1.96
Industrials,10.04,10.46
Technology,32.53,38.20
Consumer Defensive,3.25,6.64
Healthcare,0.00,4.97
Utilities,4.40,1.23
