,Net,Short,Long,Cat.,Index
U.S.Stock,100.51,0.00,100.51,84.55,98.92
Non-U.S.Stock,0.89,0.00,0.89,1.41,1.08
Bonds,1.28,0.00,1.28,1.68,0.00
Other,0.00,0.00,0.00,0.57,0.00
Cash,-2.68,86.00,83.33,77.20,0.00
Not Classified,0.00,0.00,0.00,0.57,0.00
