,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-7.35,16.02
Fund (NAV),—,—,—,—,—,—,—,—,—,-7.04,18.33
+/ Category (NAV),—,—,—,—,—,—,—,—,—,0.74,-1.18
+/- Index (Price),—,—,—,—,—,—,—,—,—,-2.30,0.87
Percentile Rank,—,—,—,—,—,—,—,—,—,38,49
# of Funds in Category,—,—,—,—,—,—,—,—,155,199,262
