,Values
NAV,"12,252.44"
Open Price,"12,125.00"
Bid / Ask / Spread,"0.00 / 12,295.00 / 0.00%"
Volume / Avg,"3,217.0 / 11,117.6"
Day Range,"12,125.00 – 12,305.00"
Year Range,"9,690.00 – 13,045.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.440%
Total Assets,15.9 Bil
