,Values
Sustainability Rate,High
Percent Rank in Global Category,9%
Historical Sustainability Score,42.77
Global Category,Korea Equity
Portfolio ESG,51.59
Controversy Deduction,8.55
Sustainability Score,43.04
Sustainability Mandate,No
