,Fund,Cat. Average,Index
Price/Earnings ,8.98,11.02,12.13
Price/Book ,0.90,0.84,0.86
Price/Sales ,0.63,0.53,0.65
Price/Cash Flow ,3.67,3.46,3.66
Dividend Yield % ,2.99,3.08,3.48
Long-Term Earnings % ,13.41,10.07,3.69
Historical Earnings % ,14.82,15.26,14.88
Sales Growth % ,4.04,11.25,4.89
Cash-Flow Growth % ,11.85,16.83,15.05
Book-Value Growth % ,7.11,10.86,8.56
