,Values
NAV,"9,912.26"
Open Price,"9,855.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,5.0 / 125.3
Day Range,"9,855.00 – 9,875.00"
Year Range,"9,730.00 – 11,260.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.150%
Total Assets,623.5 Bil
