,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,200.31,0.00,200.31,620.20,—
Bonds,19.42,0.00,19.42,8.78,—
Other,0.00,0.00,0.00,3.73,—
Cash,-119.73,133.74,14.00,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
