,Values
Sustainability Rate,Average
Percent Rank in Global Category,64%
Historical Sustainability Score,42.11
Global Category,Trading Tools
Portfolio ESG,49.83
Controversy Deduction,7.41
Sustainability Score,42.42
Sustainability Mandate,No
