,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-2.02,0.00,-15.31,-14.91,-11.67,—,—,—,—,—,—
Total Return % (NAV),0.22,-0.93,-13.80,-15.62,-10.28,—,—,—,—,—,-18.16
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
