,Values
NAV,"8,141.50"
Open Price,"7,950.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2,479.0 / 3,151.9"
Day Range,"7,915.00 – 8,060.00"
Year Range,"7,755.00 – 11,440.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.580%
Total Assets,8.1 Bil
