,Values
Sustainability Rate,Average
Percent Rank in Global Category,53%
Historical Sustainability Score,45.56
Global Category,Latin America Equity
Portfolio ESG,54.55
Controversy Deduction,9.91
Sustainability Score,44.64
Sustainability Mandate,No
