,Fund,Category,Index
U.S.Stock,0.00,0.82,0.00
Non-U.S.Stock,98.11,77.18,99.95
Bonds,0.00,0.01,0.00
Other,0.00,0.00,0.00
Cash,1.89,28.08,0.00
Not Classified,0.00,0.00,0.05
