,Values
NAV,"4,010.11"
Open Price,"4,030.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"6,350.0 / 7,151.5"
Day Range,"3,850.00 – 4,030.00"
Year Range,"3,375.00 – 4,385.00"
SEC Yield ,—
12-Month Yield ,1.68%
Premium ,—
Expense Ratio,0.690%
Total Assets,5.2 Bil
