,Fund,Cat. Average,Index
Price/Earnings ,11.36,12.99,12.68
Price/Book ,1.76,1.96,1.75
Price/Sales ,1.19,1.42,1.35
Price/Cash Flow ,2.98,4.20,4.43
Dividend Yield % ,3.52,3.50,3.75
Long-Term Earnings % ,8.83,14.00,11.91
Historical Earnings % ,8.62,9.65,10.55
Sales Growth % ,3.68,8.24,-0.02
Cash-Flow Growth % ,23.71,22.26,13.64
Book-Value Growth % ,-3.77,1.61,3.64
