,Fund,Cat. Average,Index
Price/Earnings ,8.79,11.02,12.13
Price/Book ,0.62,0.84,0.86
Price/Sales ,0.53,0.53,0.65
Price/Cash Flow ,2.72,3.46,3.66
Dividend Yield % ,3.54,3.08,3.48
Long-Term Earnings % ,12.20,10.07,3.69
Historical Earnings % ,-3.18,15.26,14.88
Sales Growth % ,-4.99,11.25,4.89
Cash-Flow Growth % ,5.30,16.83,15.05
Book-Value Growth % ,3.86,10.86,8.56
