,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.03,0.07,-9.86,0.21,-11.40,—,—,—,—,—,—
Total Return % (NAV),2.49,4.38,-5.86,2.37,-10.42,—,—,—,—,—,-27.06
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
