,Values
NAV,"7,210.76"
Open Price,"7,145.00"
Bid / Ask / Spread,"7,050.00 / 7,080.00 / 0.42%"
Volume / Avg,"42,090.0 / 48,239.6"
Day Range,"7,060.00 – 7,145.00"
Year Range,"6,615.00 – 10,345.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.540%
Total Assets,27.8 Bil
