,Fund,Cat. Average,Index
Price/Earnings ,15.11,13.31,—
Price/Book ,1.50,0.99,—
Price/Sales ,0.40,0.52,—
Price/Cash Flow ,8.55,3.85,—
Dividend Yield % ,1.19,2.16,—
Long-Term Earnings % ,12.72,15.19,—
Historical Earnings % ,7.63,35.81,—
Sales Growth % ,17.30,2.99,—
Cash-Flow Growth % ,-22.08,2.81,—
Book-Value Growth % ,8.22,1.55,—
