,Values
NAV,"8,674.94"
Open Price,"8,635.00"
Bid / Ask / Spread,"8,560.00 / 8,590.00 / 0.35%"
Volume / Avg,300.0 / 826.1
Day Range,"8,635.00 – 8,635.00"
Year Range,"8,005.00 – 12,150.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.350%
Total Assets,5.2 Bil
