,Values
NAV,"16,974.66"
Open Price,"17,005.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"125.0 / 82,846.7"
Day Range,"17,005.00 – 17,140.00"
Year Range,"14,580.00 – 17,260.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.470%
Total Assets,37.3 Bil
