,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-118.87,118.87,0.00,5.39,—
Bonds,15.23,0.00,15.23,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,203.64,0.00,203.64,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
