,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.44,0.77,8.16,4.88,3.14,—,—,—,—,—,—
Total Return % (NAV),-1.24,-0.88,7.02,5.13,2.39,—,—,—,—,—,13.26
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
