,Values
NAV,"52,617.40"
Open Price,"52,670.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,31.0 / 199.1
Day Range,"52,640.00 – 52,670.00"
Year Range,"50,485.00 – 52,690.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.160%
Total Assets,6.1 Bil
