,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,0.73,-7.19,0.15,9.10,26.08,-18.07,-3.11
Fund (NAV),—,—,—,—,0.25,-7.06,-0.03,9.24,26.41,-18.35,-2.32
+/ Category (NAV),—,—,—,—,-0.86,-1.98,-4.04,8.55,3.93,-1.68,2.55
+/- Index (Price),—,—,—,—,-1.79,-0.03,2.97,-4.73,-6.15,-0.44,-3.60
Percentile Rank,—,—,—,—,58,58,67,10,24,71,18
# of Funds in Category,—,—,—,"1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,284"
