,Values
NAV,"11,286.97"
Open Price,"11,190.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,54.0 / 144.9
Day Range,"11,125.00 – 11,225.00"
Year Range,"11,125.00 – 13,225.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.260%
Total Assets,15.8 Bil
