,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.19,-0.24,-1.85,-1.52,0.10,-0.89,-0.00,—,—,—,—
Total Return % (NAV),0.05,0.09,-1.93,-1.37,0.37,-0.84,0.05,—,—,—,0.52
+/- Category (NAV),-0.14,-0.41,-0.62,-0.57,-0.11,0.03,-0.81,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
