,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,5.07,-4.13,0.10
Fund (NAV),—,—,—,—,—,—,—,—,5.30,-4.14,0.37
+/ Category (NAV),—,—,—,—,—,—,—,—,-0.78,-1.34,-0.11
+/- Index (Price),—,—,—,—,—,—,—,—,-3.61,-2.46,—
Percentile Rank,—,—,—,—,—,—,—,—,61,65,51
# of Funds in Category,—,—,—,—,—,—,—,876,996,"1,104","1,214"
