Sectors,Fund %,Category %
Basic Materials,25.10,9.92
Consumer Cyclical,14.61,18.02
Financial Services,13.34,11.34
Real Estate,0.00,2.30
Communication Services,0.00,2.33
Energy,0.24,1.77
Industrials,6.41,12.04
Technology,17.78,26.05
Consumer Defensive,15.05,9.12
Healthcare,7.46,5.97
Utilities,0.00,1.13
