,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.05,0.23,8.16,6.12,4.54,—,—,—,—,—,—
Total Return % (NAV),-1.08,-1.27,7.80,7.36,4.55,—,—,—,—,—,9.03
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
