,Values
NAV,"10,916.09"
Open Price,"10,845.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"102.0 / 3,694.4"
Day Range,"10,845.00 – 10,940.00"
Year Range,"9,300.00 – 11,085.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.670%
Total Assets,10.9 Bil
