,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-99.83,99.83,0.00,5.39,—
Bonds,20.68,0.00,20.68,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,179.15,0.00,179.15,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
