Sectors,Fund %,Category %
Basic Materials,14.14,8.70
Consumer Cyclical,19.25,13.65
Financial Services,9.26,11.56
Real Estate,0.00,0.29
Communication Services,1.47,2.34
Energy,2.06,1.96
Industrials,20.90,10.46
Technology,11.05,38.20
Consumer Defensive,12.61,6.64
Healthcare,8.40,4.97
Utilities,0.86,1.23
