,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,-26.82,23.23,-9.34,-18.71
Fund (NAV),—,—,—,—,—,—,—,-27.27,23.76,-9.59,-18.98
+/ Category (NAV),—,—,—,—,—,—,—,-27.96,1.28,7.09,-15.55
+/- Index (Price),—,—,—,—,—,—,—,-40.64,-9.01,8.29,-19.37
Percentile Rank,—,—,—,—,—,—,—,100,45,6,—
# of Funds in Category,—,—,—,—,—,—,"2,103","2,012","2,058","2,015",41
