,Fund,Cat. Average,Index
Price/Earnings ,18.29,11.02,12.13
Price/Book ,1.55,0.84,0.86
Price/Sales ,1.08,0.53,0.65
Price/Cash Flow ,10.22,3.46,3.66
Dividend Yield % ,0.93,3.08,3.48
Long-Term Earnings % ,44.90,10.07,3.69
Historical Earnings % ,2.71,15.26,14.88
Sales Growth % ,-1.72,11.25,4.89
Cash-Flow Growth % ,-3.81,16.83,15.05
Book-Value Growth % ,7.29,10.86,8.56
