,Values
NAV,"5,433.90"
Open Price,"5,530.00"
Bid / Ask / Spread,"4,920.00 / 6,005.00 / 19.86%"
Volume / Avg,33.0 / 206.6
Day Range,"5,460.00 – 5,530.00"
Year Range,"5,205.00 – 7,280.00"
SEC Yield ,—
12-Month Yield ,0.53%
Premium ,—
Expense Ratio,0.580%
Total Assets,4.3 Bil
