,Values
NAV,"6,262.08"
Open Price,"6,190.00"
Bid / Ask / Spread,"6,100.00 / 6,200.00 / 1.63%"
Volume / Avg,"46,778.0 / 108,574.1"
Day Range,"6,090.00 – 6,195.00"
Year Range,"5,500.00 – 7,430.00"
SEC Yield ,—
12-Month Yield ,3.01%
Premium ,—
Expense Ratio,0.470%
Total Assets,57.6 Bil
