,Fund,Cat. Average,Index
Price/Earnings ,7.75,9.59,11.73
Price/Book ,0.70,0.96,1.24
Price/Sales ,1.81,1.50,1.80
Price/Cash Flow ,—,5.09,4.08
Dividend Yield % ,3.70,3.35,3.31
Long-Term Earnings % ,—,9.32,7.95
Historical Earnings % ,10.87,3.83,7.07
Sales Growth % ,11.91,3.64,-0.86
Cash-Flow Growth % ,—,9.11,-41.07
Book-Value Growth % ,5.22,2.07,1.63
