,Values
NAV,"6,842.57"
Open Price,"6,850.00"
Bid / Ask / Spread,"6,800.00 / 0.00 / 0.00%"
Volume / Avg,28.0 / 97.5
Day Range,"6,810.00 – 6,855.00"
Year Range,"6,650.00 – 8,520.00"
SEC Yield ,—
12-Month Yield ,2.22%
Premium ,—
Expense Ratio,0.500%
Total Assets,4.5 Bil
