,Values
NAV,"3,682.34"
Open Price,"3,730.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,044.0 / 29,434.6"
Day Range,"3,685.00 – 3,740.00"
Year Range,"3,195.00 – 4,345.00"
SEC Yield ,—
12-Month Yield ,3.08%
Premium ,—
Expense Ratio,0.460%
Total Assets,10.5 Bil
