,Values
Sustainability Rate,Below Average
Percent Rank in Global Category,82%
Historical Sustainability Score,41.46
Global Category,Financials Sector Equity
Portfolio ESG,44.93
Controversy Deduction,2.55
Sustainability Score,42.38
Sustainability Mandate,No
