,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.34,0.82,-11.25,-2.26,4.82,5.11,0.91,-0.76,—,—,—
Total Return % (NAV),-0.60,2.37,-10.01,-2.32,6.52,2.91,1.45,-0.60,—,—,1.02
+/- Category (NAV),0.20,4.16,-3.28,2.35,2.46,6.53,-3.48,-2.86,—,—,—
+/- Index (NAV),0.65,2.70,-3.23,0.61,-2.80,6.50,-8.27,-5.16,—,—,—
