,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,-15.40,14.83,0.48,-8.77,30.37,-18.22,4.82
Fund (NAV),—,—,—,—,-14.99,13.71,1.04,-8.54,30.47,-18.37,6.52
+/ Category (NAV),—,—,—,—,-32.14,11.32,0.75,-14.01,8.50,-5.72,2.46
+/- Index (Price),—,—,—,—,-42.44,12.37,5.48,-19.47,6.01,-4.37,-4.50
Percentile Rank,—,—,—,—,100,6,51,97,25,100,54
# of Funds in Category,—,—,—,44,43,35,40,36,41,47,54
