,Values
NAV,"9,785.90"
Open Price,"9,730.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,49.0 / 65.7
Day Range,"9,695.00 – 9,790.00"
Year Range,"9,500.00 – 10,325.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.220%
Total Assets,3.7 Bil
