,Fund,Cat. Average,Index
Price/Earnings ,17.59,21.65,18.41
Price/Book ,1.21,2.67,2.59
Price/Sales ,1.08,1.80,1.18
Price/Cash Flow ,7.13,12.60,11.41
Dividend Yield % ,1.96,1.36,2.35
Long-Term Earnings % ,16.07,11.95,9.27
Historical Earnings % ,13.92,13.32,5.82
Sales Growth % ,2.94,10.36,4.99
Cash-Flow Growth % ,-8.47,6.20,3.63
Book-Value Growth % ,11.64,11.50,7.88
