,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.66,-0.05,0.00,-4.44,—,—,—,—,—,—,—
Total Return % (NAV),-0.63,-0.16,0.04,-4.47,—,—,—,—,—,—,-1.14
+/- Category (NAV),-0.42,0.18,4.51,0.88,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
