,Values
NAV,"8,293.51"
Open Price,"8,325.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,46.0 / 145.4
Day Range,"8,320.00 – 8,325.00"
Year Range,"8,265.00 – 10,615.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.350%
Total Assets,5.0 Bil
