Sectors,Fund %,Category %
Basic Materials,7.30,8.70
Consumer Cyclical,10.97,13.65
Financial Services,11.45,11.56
Real Estate,0.04,0.29
Communication Services,2.51,2.34
Energy,1.77,1.96
Industrials,9.26,10.46
Technology,41.96,38.20
Consumer Defensive,6.12,6.64
Healthcare,7.42,4.97
Utilities,1.18,1.23
