,Values
NAV,"11,716.79"
Open Price,"11,660.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,2.0 / 464.9
Day Range,"11,620.00 – 11,660.00"
Year Range,"11,555.00 – 14,120.00"
SEC Yield ,—
12-Month Yield ,1.54%
Premium ,—
Expense Ratio,0.140%
Total Assets,17.6 Bil
