,Values
NAV,"14,080.02"
Open Price,"14,125.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"20,372.0 / 11,622.9"
Day Range,"14,090.00 – 14,150.00"
Year Range,"11,080.00 – 19,100.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.460%
Total Assets,3.5 Bil
