,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.68,—
Bonds,6.44,0.00,6.44,41.45,—
Other,-100.82,100.82,0.00,73.73,—
Cash,194.38,26.75,221.14,156.77,—
Not Classified,0.00,0.00,0.00,0.09,—
