,Fund,Cat. Average,Index
Price/Earnings ,9.33,11.02,12.13
Price/Book ,0.93,0.84,0.86
Price/Sales ,0.62,0.53,0.65
Price/Cash Flow ,3.74,3.46,3.66
Dividend Yield % ,2.82,3.08,3.48
Long-Term Earnings % ,14.49,10.07,3.69
Historical Earnings % ,13.13,15.26,14.88
Sales Growth % ,2.42,11.25,4.89
Cash-Flow Growth % ,8.45,16.83,15.05
Book-Value Growth % ,6.59,10.86,8.56
