,Values
NAV,"11,644.32"
Open Price,"11,565.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"18,968.0 / 58,021.9"
Day Range,"11,460.00 – 11,580.00"
Year Range,"11,405.00 – 14,190.00"
SEC Yield ,—
12-Month Yield ,2.54%
Premium ,—
Expense Ratio,0.080%
Total Assets,110.6 Bil
