,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-25.25,-11.54
Fund (NAV),—,—,—,—,—,—,—,—,—,-25.16,-11.53
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-8.49,-6.66
+/- Index (Price),—,—,—,—,—,—,—,—,—,-7.62,-12.04
Percentile Rank,—,—,—,—,—,—,—,—,—,99,93
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,284"
