,Fund,Cat. Average,Index
Price/Earnings ,10.05,11.02,12.13
Price/Book ,0.50,0.84,0.86
Price/Sales ,0.30,0.53,0.65
Price/Cash Flow ,3.74,3.46,3.66
Dividend Yield % ,1.82,3.08,3.48
Long-Term Earnings % ,6.83,10.07,3.69
Historical Earnings % ,-11.62,15.26,14.88
Sales Growth % ,4.05,11.25,4.89
Cash-Flow Growth % ,-1.65,16.83,15.05
Book-Value Growth % ,2.12,10.86,8.56
