,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.60,1.78,-9.91,-8.85,-11.27,-18.55,—,—,—,—,—
Total Return % (NAV),-0.76,1.69,-10.25,-8.94,-11.42,-18.94,—,—,—,—,-20.37
+/- Category (NAV),-0.49,-1.20,-2.74,0.34,-7.99,-4.55,—,—,—,—,—
+/- Index (NAV),-1.08,2.33,-4.30,-4.46,-12.08,-8.54,—,—,—,—,—
