,Values
NAV,"6,568.64"
Open Price,"6,610.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,40.0 / 905.8
Day Range,"6,540.00 – 6,610.00"
Year Range,"6,370.00 – 8,705.00"
SEC Yield ,—
12-Month Yield ,1.85%
Premium ,—
Expense Ratio,0.260%
Total Assets,3.5 Bil
