,Values
NAV,"14,873.24"
Open Price,"14,740.00"
Bid / Ask / Spread,"13,375.00 / 16,255.00 / 19.44%"
Volume / Avg,"10,000.0 / 14,839.8"
Day Range,"14,735.00 – 14,845.00"
Year Range,"11,645.00 – 16,165.00"
SEC Yield ,—
12-Month Yield ,1.68%
Premium ,—
Expense Ratio,0.470%
Total Assets,22.3 Bil
