,Fund,Cat. Average,Index
Price/Earnings ,9.87,13.31,—
Price/Book ,0.68,0.99,—
Price/Sales ,0.43,0.52,—
Price/Cash Flow ,4.41,3.85,—
Dividend Yield % ,2.12,2.16,—
Long-Term Earnings % ,24.20,15.19,—
Historical Earnings % ,-18.43,35.81,—
Sales Growth % ,-0.73,2.99,—
Cash-Flow Growth % ,13.06,2.81,—
Book-Value Growth % ,4.13,1.55,—
